16666	Una prelibatezza per il tuo pet!
16667	Una prelibatezza per il tuo pet molto rara!
71022	Ritorno Intelligenza	Porta indietro l'intelligenza
71023	Ritorno Vitalità	Porta indietro la vitalità.
71024	Ritorno Forza	Porta indietro la forza.
71025	Pietra del Fabbro	Con questa pietra e un Papiro Consacrato, può essere creato dal fabbro un Manuale del Fabbro
71026	Minerale di Ferro Magico	Con questo minerale e con un Papiro Consacrato il fabbro potrà creare il Papiro del Drago.
71027	Vita Dio Drago	Aumenta del 20% per 30 minuti i tuoi HP massimi.
71028	Attacco Dio Drago	Aumenta il tuo valore d'attacco del 20% per 30 minuti.
71029	Intelligenza Dio Drago	Aumenta del 20% i tuoi MP massimi per 30 minuti.
71030	Difesa del Dio Drago	Diminuisce i danni che puoi subire durante la lotta del 20% per 30 minuti.
71031	Sostegno Dio Drago	Vitalità, forza, intelligenza e destrezza del personaggio aumentano temporaneamente di 5 volte.
71032	Papiro del Drago	Elimina il rischio di distruzione di un oggetto qualora il suo miglioramento non abbia esito positivo. La qualità dell'oggetto diminuirà solo di un livello. Inoltre, aumenta del 10% la probabilità di ottenere un miglioramento di successo.
71033	Maschera delle Emozioni	Con questa maschera puoi dare libero sfogo alle tue emozioni.
71034	Pozione dell'Attacco +15	Aumenta la tua velocità di attacco di 15 per 30 minuti.
71035	Elisir del Ricercatore	Aumenta la qualità degli oggetti per le ricerche e quindi la probabilità che essi vengano accettati con successo.
71036	Papiro Chiama Capo Orco	Fa apparire un Capo orco accanto al tuo personaggio. Attenzione, si tratta di un boss!
71037	Papiro Chiama Capobanda	Fa apparire un Capobanda oscuro accanto al tuo personaggio. Attenzione, si tratta di un boss!
71038	Papiro Chiama-Re Ragno	Fa apparire un Re ragno accanto al tuo personaggio. Attenzione, si tratta di un boss!
71039	Papiro Chiama Tartaruga	Fa apparire una Tartaruga del deserto grande accanto al tuo personaggio. Attenzione, si tratta di un boss!
71040	Papiro Chiama Re fiamme	Fa apparire un Re delle fiamme accanto al tuo personaggio. Attenzione, si tratta di un boss!
71041	Papiro Chiama Nove Code	Fa apparire un Nove Code accanto al tuo personaggio. Attenzione, si tratta di un boss!
71042	Papiro Chiama Re Demone	Farà apparire un Re dei Demoni Elitario accanto al tuo personaggio. Attenzione! Si tratta di un boss!
71043	Pap. Chiama Spir.Tigre	Fa apparire uno Spirito della tigre gialla accanto al tuo personaggio. Attenzione, si tratta di un boss!
71044	Lotta Critica	Aumenta la probabilità di sferrare un colpo critico durante la lotta del 20% per 10 minuti.
71045	Lotta Trafiggente	Aumenta la probabilità di sferrare un colpo che trafigge del 20% per 10 minuti.
71048	Magia della modifica	Questa magia permette di cambiare il sesso del tuo personaggio.
71049	Sacca di Seta	Con questa sacca puoi aprire gratuitamente per 10 giorni negozi privati.
71050	Pozione della Velocità	Aumenta la velocità di movimento di 60 per 30 minuti.
71051	Strega oggetto	Sostituisce un bonus speciale ad un tuo oggetto con un altro.
71052	Consacra oggetto	Aggiunge a uno dei tuoi oggetti un nuovo bonus speciale, qualora non ne sia già presente uno.
71054	Tintura dei Regni	Un personaggio può andare in esilio, ovvero cambiare il suo Regno.
71055	Tintura del Nome	Modifica il nome del personaggio.
71056	Tintura del Cielo	Aumenta la possibilità la possibilità di migliorare con successo una pietra spirituale.
71057	Papiro C.-Giac. Fossile	Fa comparire un giacimento di legno fossile vicino al personaggio.
71058	Papiro C.-Giac. Rame	Fa comparire un giacimento di rame vicino al personaggio.
71059	Papiro C.-Giac. Argento	Fa comparire un giacimento d´argento vicino al personaggio.
71060	Papiro C.-Giac. Oro	Fa comparire un giacimento d´oro vicino al personaggio.
71061	Papiro C.-Giac. Giada	Fa comparire un giacimento di giada vicino al personaggio.
71062	Papiro C.-Giac. Ebano	Fa comparire un giacimento di ebano vicino al personaggio.
71063	Papiro C.-Muc. Conchig.	Fa comparire un mucchio di conchiglie vicino al personaggio.
71064	Papiro C.-Giac. Platino	Fa comparire un giacimento di platino vicino al personaggio.
71065	Papiro C.-Giac.Cristallo	Fa comparire un giacimento di cristallo vicino al personaggio.
71066	Papiro C.-Giac. Ametista	Fa comparire un giacimento di quarzo vicino al personaggio.
71067	Pap. C.-Giac. Lac. Cielo	Fa comparire un giacimento di lacrime di cielo vicino al personaggio.
71068	Piuma degli Innamorati	Se indossata, i punti amore di una coppia aumentano due volte più velocemente.
71069	Orecchini dell'Armonia	Se indossati da uno dei coniugi, aumentano per 3 ore e per un massimo di 8% la probabilità che entrambi i coniugi sferrino colpi trafiggenti in combattimento. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71070	Bracciale dell'Amore	Se indossato da uno dei coniugi, aumenta per 3 ore e per un massimo di 20% l'accumulo di punti esperienza in combattimento da parte di entrambi i coniugi. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71071	Orecchini dell'Amore	Se indossati da uno dei coniugi, aumentano per 3 ore e per un massimo di 8% la probabilità che entrambi i coniugi sferrino colpi critici in combattimento. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71072	Bracciale dell'Armonia	Se indossato da uno dei coniugi, diminuisce per 3 ore e per un massimo di 15% la forza di attacco dei mostri avversari nei confronti di entrambi i coniugi. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71073	Collana dell'Amore	Se indossata da uno dei coniugi, aumenta per 3 ore e per un massimo di 40 la forza di attacco in combattimento di entrambi i coniugi. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71074	Collana dell'Armonia	Se indossata da uno dei coniugi, aumenta per 3 ore e per un massimo di 30 la difesa in combattimento di entrambi i coniugi. L'effetto di questo item dipende dalla percentuale di punti amore. Se, ad esempio, una coppia ha il 50% di punti amore, l'effetto massimo sarà ridotto alla metà.
71075	Colore Capelli (Bianco)	Colora i capelli di bianco.
71076	Colore Capelli (Biondo)	Colora i capelli di biondo.
71077	Colore Capelli (Rosso)	Colora i capelli di rosso.
71078	Colore Capelli (Marrone)	Colora i capelli di marrone.
71079	Colore Capelli (Nero)	Colora i capelli di nero.
71080	Roccia Metin (Facile)	Fa comparire Rocce Metin di bassa qualità vicino al personaggio.
71081	Roccia Metin (Normale)	Fa comparire Rocce Metin di qualità normale vicino al personaggio.
71082	Roccia Metin (Difficile)	Fa comparire Rocce Metin di alta qualità vicino al personaggio.
71083	Libro delle pietre	Toglie tutte le schegge da un oggetto. Avari così un altra possibilità di migliorare la tua arma o armatura.
11074	Incanta oggetto	Toglie i bonus a uno dei tuoi oggetti e ne aggiunge altri.
71085	Rinforza Oggetto	Aggiunge direttamente 5 bonus al tuo oggetto.
71088	Libro Missioni(Facile)	Un opera rilegata in pelle marrone che contiene una missione che può essere affrontata anche da avventurieri meno esperti.
71089	Libro Missioni(Normale)	Un opera rilegata in pelle marrone che contiene una missione che può essere affrontata solo dagli avventurieri che possiedono già esperienza nella lotta.
71090	Libro Missioni(Diff.)	Un opera rilegata in pelle marrone che contiene una missione che può essere affrontata solo da avventurieri esperti.
71091	Tintura del Commercio	Il colore del cartello del tuo negozio può essere cambiato.
71092	Libro Trasformazione	Lo studio di questo libro aumenta la capacità di trasformazione. Il libro sparisce al termine della lettura.
71093	Sfera Trasformazione	Puoi farti trasformare in mostro dalla palla.
71094	Lettura Concentrata	Aumenta di 2,5 volte la possibilità di migliorare il tuo talento leggendo il prossimo libro (o Pietra delle anime).
71095	Biglietto del passaggio	Consegnando questo biglietto al guardiano otterrai il permesso di accedere alla Fortezza del Drago Rosso.
30200	Biglietto del passaggio	Consegnando questo biglietto al guardiano otterrai il permesso di accedere alla Torre di Nemere.
71096	Tavola del Passaggio	Questa medaglia ti permette di passare un portone.
71099	Anello del successore	Permette al Capo Gilda di scegliere un successore
71100	Papiro Cambia Dottrina	Puoi dimenticare la tua dottrina ed imparane un'altra. Per poterlo fare devi aver raggiunto almeno il livello 31.
71101	Pozione della Fretta	Questa pozione diminuisce per 30 minuti il tempo di ricarica del 20%.
71103	Redistribuzione (VIT)	Riporta la tua vitalità a 1 e ti permette di redistribuire i tuoi punti.
71104	Redistribuzione (INT)	Riporta la tua intelligenza a 1 e ti permette di redistribuire i tuoi punti.
71105	Redistribuzione (STR)	Riporta la tua forza a 1 e ti permette di redistribuire i tuoi punti.
71106	Redistribuzione (DEX)	Riporta la tua destrezza a 1 e ti permette di redistribuire i tuoi punti.
71107	Frutto della Vita	Aumenta i tuoi Punti Karma di 2000 (utilizzabile ogni 8 ore).
71108	Succo di Melagrana	Bevanda che rigenera immediatamente i tuoi HP di 800. Questo item è commerciabile.
71109	Papiro della Correzione	Con questo Papiro è possibile togliere da un oggetto l'ultima Pietra Spirituale aggiunta con successo.
71110	Zucchero per Cavallo	Questo zuccherino ti permette di dare un nome al tuo animale da cavalcare. Allo stesso tempo aumenta il suo valore di difesa di 20.
71113	Lente della Previdenza	Ti permette di mostrare gli oggetti del tuo inventario a un altro giocatore. La lente si rompe durante l'operazione.
71114	Sigillo Cinghiale Giallo	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711151	Sigillo Cinghiale Blu	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711152	Sigillo Cinghiale Blu	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711153	Sigillo Cinghiale Blu	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711154	Sigillo Cinghiale Blu	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
71115	Sigillo Cinghiale Blu	La magia del sigillo invoca il potente spirito di Dragonite.
71116	Sigillo Lupo Giallo	La magia del sigillo invoca il potente spirito della creatura arborea.
711171	Sigillo Lupo Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711172	Sigillo Lupo Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711173	Sigillo Lupo Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711174	Sigillo Lupo Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
71117	Sigillo Lupo Blu	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
71118	Sigillo Tigre Giallo	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711191	Sigillo Tigre Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711192	Sigillo Tigre Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711193	Sigillo Tigre Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711194	Sigillo Tigre Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
71119	Sigillo Tigre Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
71120	Sigillo Leone Giallo	La magia del sigillo invoca il potente spirito di un animale, che ti porterà velocemente in un luogo a tua scelta.
711211	Sigillo Leone Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711212	Sigillo Leone Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711213	Sigillo Leone Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
711214	Sigillo Leone Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
71121	Sigillo Leone Blu	La magia del sigillo invoca il potente spirito di un animale che ti porterà velocemente in un luogo a tua scelta.
71122		
71123	Squame di Drago	Le squame di drago sono uno dei materiali più robusti che si conoscano.
71124	Leone bianco	Gli animali dal pelo bianco sono piuttosto rari e in molte culture essi sono ritenuti portatori di forze straordinarie.
71125	Sigillo Cinghiale Comb.	Domare delle anime ribelli richiede numerose abilità. Tuttavia, il risultato è davvero strepitoso.
71126	Sigillo Lupo Comb.	Domare delle anime ribelli richiede numerose abilità. Tuttavia, il risultato è davvero strepitoso.
71127	Sigillo Tigre	Questa creatura ti conferisce +25% vs mostri.
71128	Sigillo Leone	Questa creatura ti conferisce +250 valore di attacco e +7% vs boss.
71129	Artigli di Drago	La vista di questi terribili artigli rievoca strani ricordi...
71130	Biglietto del passaggio	Consegnando questo biglietto al guardiano otterrai il permesso di accedere al piano successivo del Sotterraneo dei Ragni e alla Fortezza del Drago Rosso. Questo item è commerciabile.
71131	Sigillo del cavallo nero	Sigillo equino per un cavallo nero nobile.
71132	Sigillo del cavallo nero	Sigillo equino per un cavallo nero nobile.
71133	Sigillo del cavallo nero	Sigillo equino per un cavallo nero nobile.
71134	Sigillo del cavallo nero	Sigillo equino per un cavallo nero nobile.
71136	Leccalecca della forza	Un leccalecca fatto con ingredienti segreti che dona esperienza e forza in battaglia.
71137	Sig. Tigre Reale (blu)	La magia del sigillo richiama la tua cavalcatura, il leggendario Tigris. Conferisce +10% vs Mostri.
71138	Sig. Tigre Reale (rosso)	La magia del sigillo richiama la tua cavalcatura, la maestosa Tigre Reale (rossa).
71139	Sig. Tigre Reale (oro)	La magia del sigillo richiama la tua cavalcatura, la maestosa Tigre Reale (oro).
71140	Sig. Tigre Reale (verde)	La magia del sigillo richiama la tua cavalcatura, la maestosa Tigre Reale (verde).
71141	Sig.Tigre Reale (grigio)	La magia del sigillo richiama la tua cavalcatura, la maestosa Tigre Reale (grigia).
71142	Sig. Tigre Reale (bian.)	Il mitologico cavallo discendente dal dio drago.
71143	Anello della Felicità	L'anello con una preziosa decorazione di giada e turchese possiede i seguenti bonus: +50% di punti esperienza +20% di Velocità attacco +20% di Velocità magia  +30% di Forte contro mostri  +10% di HP massimi +10% di MP massimi
71144	Forziere di Natale	Il regalo di Natale incartato con cura contiene più di una sorpresa per la festa.
71145	Amuleto dell'eterno amor	Un ciondolo d'argento a forma di cuore, decorato con gemme magiche.
71146	Baule di Cupido (rosa)	Baule a forma di cuore contenente 5 sorprese. Può essere aperto ogni 30 minuti.
71147	Baule di Cupido (blu)	Baule a forma di cuore contenente 5 sorprese. Può essere aperto ogni 30 minuti.
71148	Anello Forza di Volontà	Conferisce 5% Critici e 10% forte contro mostri. Il talismano si deteriora velocemente solo quando indossato.
71149	Anello Potenza Letale	Conferisce 5% Mezzi e 10% trafiggenti. Il talismano si deteriora velocemente solo quando indossato.
71150	Uovo magico	Questo pregiatissimo baule ovale finemente decorato contiene più di una sorpresa di Pasqua, ma svela i suoi tesori solo pian piano.
71151	Incantesimo Verde	Rimuove i bonus da uno dei tuoi oggetti e te ne aggiunge di nuovi. Può essere utilizzato solo fino al livello 50.
71152	Forza Verde	Con un po' di fortuna aggiunge un nuovo bonus a uno dei tuoi oggetti (fino a un massimo di 4 bonus). Può essere utilizzato solo fino al livello 40 per armi e armature. Non è commerciabile.
71153	Pozione della saggezza	Questa pozione ti da la possibilità di accumulare durante un'ora di gioco il 100% di esperienza in più. Non è commerciabile.
71154	Pozione ascesa (3h)	Grazie a questa pozione potrai accumulare l'80% in più di esperienza in tre ore di gioco. Non è commerciabile. Non removibile.
71155	Pozione saggezza (3 h)	Grazie a questa pozione potrai accumulare il 100% in più di esperienza in tre ore di gioco. Non è commerciabile.
71156	Pozione spirito (3h)	Grazie a questa pozione potrai accumulare il 150% in più di esperienza in tre ore di gioco. Non è commerciabile.
71157		
71158	Medaglia dell'eroe	Dona +50% Punti Esperienza, +30% Danno, +20% di Velocità Attacco, +20% Velocità Magia +10% HP e +10% MP.
71159	Scrigno di Milon	Uno scrigno per veri eroi. Custodito strettamente dal Lord Scimmia.
71160	Scrigno di Atena	Uno scrigno per vere eroine. Contiene un item scelto dalla sorte come ricompensa per il tuo trionfo.
71161	Equus Porpora	Sigillo che evoca una delle leggendarie fenici.
71164	Sigillo Cometa	Con questo sigillo puoi richiamare il tuo cucciolo di renna Cometa.
71166	Sigillo Panda Corazzato	Con questo sigillo evochi il tuo Panda. Conferisce 20% vs Diavolo.
71165	Sigillo Panda Corazzato	Con questo sigillo evochi il tuo Panda selvatico.
71171	Sigillo Unicorno	Con questo sigillo richiami il tuo Sogno.
71172	Sigillo Incubo	Con questo sigillo convochi il tuo Incubo.
71173	Pergamena del teletrasporto	La pergamena ti conduce direttamente alle porte della Fortezza del Drago Rosso.
71174	Biglietto del passaggio	Consegnando il Biglietto del passaggio al guardiano otterrai il permesso di accedere alla Fortezza del Drago Rosso.
71175	Biglietto del passaggio	Consegnando il Biglietto del passaggio al guardiano otterrai il permesso di accedere alla Fortezza del Drago Rosso.
71176	Pantera nera	Questo sigillo evoca la tua misteriosa Pantera Fedele. Conferisce 12% vs Mostri.
71177	Sigillo leopardo	Questo sigillo evoca il tuo Leopardo. Conferisce 12% vs Mostri.
71178	Enciclopedia d. Luna (P)	Pacchetto per lican contenente 10 Libri delle abilità scelti dalla sorte
71179	Enciclopedia d. Luna (G)	Pacchetto per lican contenente 25 Libri delle abilità scelti dalla sorte
71180	Pozione ascesa (3h)	Grazie a questa pozione potrai accumulare l'80% in più di esperienza in tre ore di gioco. Non è commerciabile.
71181	Pozione saggezza (3 h)	Grazie a questa pozione potrai accumulare il 100% in più di esperienza in tre ore di gioco. Non è commerciabile.
71182	Sigillo Muffin (marrone)	Con questo sigillo puoi evocare Muffin, il temibile pollo guerriero.
71183	Sigillo Nugget (marrone)	Con questo sigillo puoi evocare Nugget, il terribile pollo guerriero.
71184	Sigillo Muffin (blu)	Con questo sigillo puoi evocare Muffin, il temibile pollo guerriero.
71185	Sigillo Nugget (blu)	Con questo sigillo puoi evocare Nugget, il terribile pollo guerriero.
71186	Sigillo Muffin (verde)	Con questo sigillo puoi evocare Muffin, il temibile pollo guerriero.
71187	Sigillo Nugget (verde)	Con questo sigillo puoi evocare Nugget, il terribile pollo guerriero.
71188	Leccalecca della magia	Un leccalecca fatto con ingredienti segreti che dona energia magica ed esperienza in battaglia.
71189	Incanta oggetto+	Toglie i bonus a uno dei tuoi oggetti e ne aggiunge altri. Visualizzerai un'anteprima dei bonus e potrai scegliere se accettarli o meno.
71190	Cestino di zucca	Scatola che contiene certificati elementali.
71191	Busta di dolci	Tesoro custodito dal Drago Rosso.
71192	Sigillo Tuono	Con questo sigillo evochi la tua renna Tuono.
71193	Sigillo Lampo	Con questo sigillo evochi la tua renna Lampo.
71194	Scatola Okey oro	Ricevi una quantità di Carte da collezione Okey scelta dalla sorte. Quando l'evento si concluderà, non potrai più ricevere nuove carte.
71195	Scatola Okey argento	Ricevi una quantità di Carte da collezione Okey scelta dalla sorte. Quando l'evento si concluderà, non potrai più ricevere nuove carte.
71196	Scatola Okey bronzo	Ricevi una quantità di Carte da collezione Okey scelta dalla sorte. Quando l'evento si concluderà, non potrai più ricevere nuove carte.
71197	Sigillo Nugget (blu m.)	Con questo sigillo puoi evocare Nugget, il terribile pollo guerriero.
71198	Sigillo Muffin (rosa)	Con questo sigillo puoi evocare Muffin, il temibile pollo guerriero.
71199	Amuleto del Cioccolato	Questo meraviglioso Amuleto del Cioccolato ti conferisce più forza durante il combattimento. Ottieni |  50% di EXP | Velocità di attacco 20% | Velocità di magia 20% | Forza contro i mostri 10% | Max. HP 10% | Max. MP 10% | Insieme a Valentino o Valentinia ottieni un Bonus del Set supplementare per i tuoi EXP.
71203	Enciclopedia Saturno (P)	Pacchetto per guerrieri fisici contenente 10 Libri delle abilità scelti dalla sorte
71204	Enciclopedia Saturno (G)	Pacchetto per guerrieri fisici contenente 25 Libri delle abilità scelti dalla sorte
71205	Enciclopedia Terra (P)	Pacchetto per guerrieri mentali contenente 10 Libri delle abilità scelti dalla sorte
71206	Enciclopedia Terra (G)	Pacchetto per guerrieri mentali contenente 25 Libri delle abilità scelti dalla sorte
71207	Enciclopedia Marte (P)	Pacchetto per ninja della lotta corpo a corpo contenente 10 Libri delle abilità scelti dalla sorte
71208	Enciclopedia Marte (G)	Pacchetto per ninja della lotta corpo a corpo contenente 25 Libri delle abilità scelti dalla sorte
71209	Enciclopedia Giove (P)	Pacchetto per ninja della lotta a distanza contenente 10 Libri delle abilità scelti dalla sorte
71210	Enciclopedia Giove (G)	Pacchetto per ninja della lotta a distanza contenente 25 Libri delle abilità scelti dalla sorte
71211	Enciclopedia Uranio (P)	Pacchetto per sura delle armi contenente 10 Libri delle abilità scelti dalla sorte
71212	Enciclopedia Uranio (G)	Pacchetto per sura delle armi contenente 25 Libri delle abilità scelti dalla sorte
71213	Enciclopedia Nettuno (P)	Pacchetto per sura della magia contenente 10 Libri delle abilità scelti dalla sorte
71214	Enciclopedia Nettuno (G)	Pacchetto per sura della magia contenente 25 Libri delle abilità scelti dalla sorte
71215	Enciclop. Mercurio (P)	Pacchetto per shamani del drago contenente 10 Libri delle abilità scelti dalla sorte
71216	Enciclop. Mercurio (G)	Pacchetto per shamani del drago contenente 25 Libri delle abilità scelti dalla sorte
71217	Enciclopedia Venere (P)	Pacchetto per shamani della guarigione contenente 10 Libri delle abilità scelti dalla sorte
71218	Enciclopedia Venere (G)	Pacchetto per shamani della guarigione contenente 25 Libri delle abilità scelti dalla sorte
71219		
71220		
72001	Anello dell'Esperienza	Aumenta la raccolta di esperienza del 50%.
72002	Anello dell'Esperienza	Aumenta del 50% la capacità di raccogliere esperienza per 30 minuti.
72003	Anello dell'Esperienza	Aumenta del 50% la capacità di raccogliere esperienza per 3 ore.
72004	Guanti del Ladro	Raddoppia per 10 ore la possibilità di razziare oggetti.
72005	Guanti del Ladro	Raddoppia per 30 minuti la possibilità di razziare oggetti.
72006	Guanti del Ladro	Raddoppia per 3 ore la possibilità di razziare oggetti.
72007	Sacca di Seta	Puoi aprire un negozio privato per 10 ore.
72008	Sacca di Seta	Puoi aprire un negozio privato per 30 minuti.
72009	Sacca di Seta	Puoi aprire un negozio privato per 3 ore.
72010	Piuma degli Innamorati	Se indossata, per 15 minuti i punti amore aumentano il doppio più velocemente.
72011	Piuma degli Innamorati	Se indossata, per 30 minuti i punti amore aumentano il doppio più velocemente.
72012	Piuma degli Innamorati	Se indossata, per 3 ore i punti amore aumentano il doppio più velocemente.
72013	Libro della Pesca	Raddoppia per 15 minuti la possibilità di catturare un pesce raro.
72014	Libro della pesca	Raddoppia per 30 minuti la possibilità di catturare un pesce raro.
72015	Libro della Pesca	Raddoppia per 3 ore la possibilità di catturare un pesce raro.
72016	Terza mano	Una mano che per 15 minuti raccoglie automaticamente gli Yang.
72017	Terza mano	Una mano che per 30 minuti raccoglie automaticamente gli Yang.
72018	Terza mano	Una mano che per 3 ore raccoglie automaticamente gli Yang.
72019	Forziere del Magazzino	Il tuo magazzino si ingrandisce per 15 minuti di altre 2 stanze.
72020	Forziere del Magazzino	Il tuo magazzino si ingrandisce per 30 minuti di altre 2 stanze.
72021	Forziere del Magazzino	Il tuo magazzino si ingrandisce per 3 ore di altre 2 stanze.
72022	Medaglia della Fortuna	Raddoppia per 10 ore la capacità di razziare Yang.
72023	Medaglia della Fortuna	Raddoppia per 30 minuti la capacità di razziare Yang.
72024	Medaglia della Fortuna	Raddoppia per 3 ore la capacità di razziare Yang.
72025	Lotta Critica	Le probabilità di trafiggere aumentano del 20% per 10 minuti.
72026	Lotta Critica	Le probabilità di trafiggere aumentano del 20% per 10 minuti.
72027	Lotta Critica	Le probabilità di trafiggere aumentano del 20% per 10 minuti.
72028	Maschera delle Emozioni	Puoi utilizzarla per azioni emozionali.
72029	Maschera delle Emozioni	Puoi utilizzarla per azioni emozionali.
72030	Maschera delle emozioni	Puoi utilizzarla per azioni emozionali.
72031	Attacco Dio Drago	Aumenta il tuo valore d'attacco del 20% per 30 minuti.
72032	Attacco Dio Drago	Aumenta il tuo valore d'attacco del 20% per 30 minuti.
72033	Attacco Dio Drago	Aumenta il tuo valore d'attacco del 20% per 30 minuti.
72034	Difesa Dio Drago	Diminuisce del 12-15% i danni che subisci in un attacco.
72035	Difesa Dio Drago	Diminuisce del 12-15% i danni che subisci in un attacco.
72036	Difesa Dio Drago	Diminuisce del 12-15% i danni che subisci in un attacco.
72037	Vita del Dio Drago	Aumenta i tuoi HP massimi del 20% per 30 minuti.
72038	Vita del Dio Drago	Aumenta i tuoi HP massimi del 20% per 30 minuti.
72039	Vita del Dio Drago	Aumenta i tuoi HP massimi del 20% per 30 minuti.
72040	Intelligenza Dio Drago	Aumenta i tuoi MP massimi del 20% per 30 minuti.
72041	Intelligenza Dio Drago	Aumenta i tuoi MP massimi del 20% per 30 minuti.
72042	Intelligenza Dio Drago	Aumenta i tuoi MP massimi del 20% per 30 minuti.
72043	Libro del Capo	Se è portato dal capo del gruppo aumenta l'esperienza di tutti i membri del gruppo del 30%.
72044	Libro del Capo	Se è portato dal capo del gruppo aumenta l'esperienza di tutti i membri del gruppo del 30%.
72045	Libro del Capo	Se è portato dal capo del gruppo aumenta l'esperienza di tutti i membri del gruppo del 30%.
72046	Possibilità Importante	Aumenta la probabilità di effettuare colpi trafiggenti del 20% per 10 minuti.
72047	Possibilità Importante	Aumenta la probabilità di effettuare colpi trafiggenti del 20% per 10 minuti.
72048	Possibilità Importante	Aumenta la probabilità di effettuare colpi trafiggenti del 20% per 10 minuti.
72301	Papiro Consacrato	Elimina il rischio di distruggere un oggetto se il miglioramento fallisce. In questo caso, la sua qualità sarà solo diminuita di 1.
72302	Libro del Capo	Fin quando il capo di un gruppo porta con se questo libro, tutti i membri del gruppo raccolgono il 30% di punti esperienza in più.
72303	Anello dell'Esperienza	Aumenta del 50% la capacità di raccogliere esperienza per un'ora.
72304	Sfera benedetta	Questa sfera leggendaria aggiunge un quinto attributo agli oggetti che ne possiedono già quattro. L'aggiunta potrebbe però fallire.
72305	Specchio Invisibilità	Specchio Invisibilità
72306	Notizia del Fabbro	Un appunto dell'armaiolo che descrive la procedura necessaria per il miglioramento di un arma.
72307	Notizia del Saggio	Notizia del Saggio
72308	Minerale di rame magico	Con questo minerale e con un Papiro consacrato il fabbro potrà creare un Papiro della guerra.
72309	Libro del Fabbro	Il libro è legato all'anima di un vecchio Fabbro. Usandolo si possono alzare le probabilità di miglioramento di un oggetto.
72310	Papiro dell'Esorcismo	Ti libera dalla maledizione dello spirito malvagio quando la lettura fallisce. Con l'aiuto di questo papiro puoi leggere un altro libro abilità nello stesso giorno.
72311	Benedizione del Drago	Una Benedizione che rigenera immediatamente i tuoi HP e MP totalmente.
72312	Attacco Dio Drago	Aumenta il tuo valore d'attacco del 20% per 30 minuti.
72313	Difesa Dio Drago	Diminuisce i danni che puoi subire durante la lotta del 20% per 30 minuti.
72314	Papiro del Drago	Elimina il rischio di distruggere un oggetto se il miglioramento fallisce. La qualità, però, diminuirà di uno. Inoltre, aumenta del 10% la probabilità di ottenere un miglioramento di successo.
72319	Ampliamento inventario	Utilizza questo oggetto per ampliare il tuo inventario.
72320	Ampliamento inventario	Utilizza questo oggetto per ampliare il tuo inventario.
72321	Anello dei segreti	Impedisce l'accumulo di punti esperienza durante la caccia ai mostri
72322	Carta del nuovo inizio	Questo certificato e' consegnato solo agli Eroi che hanno sconfitto un mostro leggendario.
72323	Carta del nuovo ordine	Questa carta ti consente di lanciare di nuovo i dadi per la missione.
72325	Annullamento proiezione	Rende possibile l'annullamento della proiezione sugli oggetti.
